
English,Chinese Meanings,pos,word_with_pos,check_status,suggested_zh,notes
accuracy,正確；準確,n.,accuracy (n.),OK,,
accurate,準確；準確的；精確,adj.,accurate (adj.),OK,,
accurately,準確地,adv.,accurately (adv.),OK,,
accuse,控告；譴責,n.,accuse (n.),OK,,
accustom,習慣（於）,n.,accustom (n.),OK,,
ache,疼痛疼痛；感使相符,n.,ache (n.),OK,,
achieve,完成，實現；達到,n.,achieve (n.),OK,,
achievement,達成；完,n.,achievement (n.),OK,,
acknowledge,承認,n.,acknowledge (n.),OK,,
acknowledgement,承認；確認；認可器,n.,acknowledgement (n.),OK,,
acquire,取得；獲得,n.,acquire (n.),OK,,
acquisition,獲得，取得,n.,acquisition (n.),OK,,
acquisitive,想獲得的；,adj.,acquisitive (adj.),OK,,
acre,英畝；英畝；地產,n.,acre (n.),OK,,
across,橫越，穿過；,n.,across (n.),OK,,
act,扮演；做事；見效,n.,act (n.),OK,,
action,行動；行動；行為,n.,action (n.),OK,,
activate,使活化；使活,v.,activate (v.),OK,,
active,活躍的；活躍的；活潑的；93.,adj.,active (adj.),OK,,
activity,活動；活動；行動,n.,activity (n.),OK,,
actor,演員；演員；行動者,n.,actor (n.),OK,,
actress,女演員,n.,actress (n.),OK,,
actual,實際的；事實上的,adj.,actual (adj.),OK,,
actually,實際上；真的配,adv.,actually (adv.),OK,,
acute,嚴重的；敏銳的,adj.,acute (adj.),OK,,
ad,成長；生長固保證；保固,n.,ad (n.),OK,,
ad analyze,分析,phr.,ad analyze (phr.),OK,,
adapt,使適應，使適合；適應,n.,adapt (n.),OK,,
adapter,改編者；轉接成,n.,adapter (n.),OK,,
add,添加；增加,n.,add (n.),OK,,
addict,使沉溺；使醉心,n.,addict (n.),OK,,
addiction,沉溺；成癮,n.,addiction (n.),OK,,
addictive,成癮的；上癮貪得無厭的的,adj.,addictive (adj.),OK,,
addition,加；附加,n.,addition (n.),OK,,
additional,另外,adj.,additional (adj.),OK,,
additionally,附加地；,adv.,additionally (adv.),OK,,
address,地址,n.,address (n.),OK,,
adept,能手；內行,n.,adept (n.),OK,,
adequate,足夠的；適潑,adj.,adequate (adj.),OK,,
adhere,黏附；遵守；堅積極的持,n.,adhere (n.),OK,,
adjust,調整；校正,n.,adjust (n.),OK,,
adjustment,調整；校正,n.,adjustment (n.),OK,,
administrate,管理；支,v.,administrate (v.),OK,,
administration,管理；經營；行政,n.,administration (n.),OK,,
administrator,管理人；行政官員,n.,administrator (n.),OK,,
admirable,值得讚揚的；令人欽佩的的,adj.,admirable (adj.),OK,,
admiration,欽佩；欣賞,n.,admiration (n.),OK,,
admire,欽佩；欣賞,n.,admire (n.),OK,,
admission,承認,n.,admission (n.),OK,,
admit,承認；承認；准許進入,n.,admit (n.),OK,,
admittance,進入；入,n.,admittance (n.),OK,,
adolescence,青春期；,n.,adolescence (n.),OK,,
adolescent,青少年的；,adj.,adolescent (adj.),OK,,
adopt,採取；採納；採用,n.,adopt (n.),OK,,
adoption,採納；採用,n.,adoption (n.),OK,,
adorn,裝飾；使生色,n.,adorn (n.),OK,,
adult,成年人成年的；125.,adj.,adult (adj.),OK,,
advance,前進；前進；進展前進；發展先行的；預先的,adj.,advance (adj.),OK,,
advanced,在前面的；先進的；開明的,adj.,advanced (adj.),OK,,
advancement,進步,n.,advancement (n.),OK,,
advantage,優勢；優點；利益有利於；使處於優勢,n.,advantage (n.),OK,,
adventure,冒險；冒險;冒險精神fﬁ,n.,adventure (n.),Possible error,冒險；冒險;冒險精神ﬁ,English letters present in Chinese meaning
adversary,敵手；敵人,n.,adversary (n.),OK,,
adverse,反面的；不利,adj.,adverse (adj.),OK,,
advertise,廣告；公布,v.,advertise (v.),OK,,
advertisement,廣告；廣告；,n.,advertisement (n.),OK,,
advertising,廣告,v.,advertising (v.),OK,,
advice,勸告；忠告；忠告；建議,n.,advice (n.),OK,,
advisable,可取的；適,adj.,advisable (adj.),OK,,
advise,勸告；忠告；忠告；提供意見,v.,advise (v.),OK,,
adviser,顧問；勸告者,n.,adviser (n.),OK,,
advocate,提倡者；辯,v.,advocate (v.),OK,,
affair,事件；事務,n.,affair (n.),OK,,
affect,影響；對……發,n.,affect (n.),OK,,
affection,愛；情愛宣傳場許可,n.,affection (n.),OK,,
affiliate,加上,v.,affiliate (v.),OK,,
afford,付得起,n.,afford (n.),OK,,
affordable,實惠的,adj.,affordable (adj.),OK,,
afraid,害怕的；恐怕；遺憾,adj.,afraid (adj.),OK,,
after,在…之後在…之後以後；之後以後的；後部的,adj.,after (adj.),OK,,
after-tax,稅後；淨收的,phr.,after-tax (phr.),OK,,
afternoon,下午；午後,n.,afternoon (n.),OK,,
afterward,之後；以後,n.,afterward (n.),OK,,
again,再；再一次,n.,again (n.),OK,,
against,反對；違反,n.,against (n.),OK,,
age,年齡；年齡變老；成熟,n.,age (n.),OK,,
agency,經銷處；代理,n.,agency (n.),OK,,
agenda,待議諸事項；警戒；警報警覺的；警惕的議程,adj.,agenda (adj.),OK,,
agent,代理商；仲介人；經紀人,n.,agent (n.),OK,,
aggression,侵略,n.,aggression (n.),OK,,
aggressive,侵略的；；積極的,adj.,aggressive (adj.),OK,,
agility,敏捷；靈活,n.,agility (n.),OK,,
ago,在……以前,n.,ago (n.),OK,,
agree,同意；贊同,n.,agree (n.),OK,,
agreement,同意；協定,n.,agreement (n.),OK,,
agricultural,農業的；預先,adj.,agricultural (adj.),OK,,
agriculture,農業,n.,agriculture (n.),OK,,
ahead,在前；向前；,n.,ahead (n.),OK,,
aid,幫助；救助幫助；救助；幫忙,n.,aid (n.),OK,,
aim,目標；意圖；瞄準；目的,adj.,aim (adj.),OK,,
air-conditioner,冷氣機,phr.,air-conditioner (phr.),OK,,
aircraft,飛機；飛艇,n.,aircraft (n.),OK,,
airfare,機票票價,n.,airfare (n.),OK,,
airline,航空；航線；航空公司,n.,airline (n.),OK,,
airport,機場；機場；航空站,n.,airport (n.),OK,,
aisle,通道；走道,n.,aisle (n.),OK,,
alarm,警報；鬧鐘使,n.,alarm (n.),OK,,
alarming,驚人的,adj.,alarming (adj.),OK,,
album,相簿；專輯,n.,album (n.),OK,,
alcoholic,酒精,adj.,alcoholic (adj.),OK,,
alert,使警覺；使注意；機警的,adj.,alert (adj.),OK,,
alien,外僑,v.,alien (v.),OK,,
align,排成直線；使結盟,n.,align (n.),OK,,
alike,相同的；相像的,adj.,alike (adj.),OK,,
allege,斷言；宣稱,n.,allege (n.),OK,,
allegedly,據傳說；據,adv.,allegedly (adv.),OK,,
allergy,過敏症,n.,allergy (n.),OK,,
alley,小巷；小徑務農的,adj.,alley (adj.),OK,,
alliance,結盟；聯盟,n.,alliance (n.),OK,,
allocate,分派；分配,v.,allocate (v.),OK,,
allow,允許；准許；允許；容許,n.,allow (n.),OK,,
allowance,津貼；補貼,n.,allowance (n.),OK,,
allure,引誘；誘惑誘惑力，魅力,n.,allure (n.),OK,,
almost,幾乎；差一點；幾乎；差不多,n.,almost (n.),OK,,
along,沿著；沿著；順著,n.,along (n.),OK,,
already,已經；先前,n.,already (n.),OK,,
alter,改變；修改,n.,alter (n.),OK,,
alternate,交替的；輪流有生命,adj.,alternate (adj.),OK,,
alternative,可替代的；兩者擇一；替代的；供,adj.,alternative (adj.),OK,,
although,雖然；儘管,n.,although (n.),OK,,
altogether,完全；全然,n.,altogether (n.),OK,,
aluminum,鋁,n.,aluminum (n.),OK,,
always,總是,n.,always (n.),OK,,
amateur,業餘；業餘的；外行的代理人；代替者,adj.,amateur (adj.),OK,,
amaze,使驚奇；使驚愕；驚奇,n.,amaze (n.),OK,,
amazing,驚人的；了不起的,adj.,amazing (adj.),OK,,
ambiguous,含糊不清,adj.,ambiguous (adj.),OK,,
ambition,抱負；野心；雄心；抱負,n.,ambition (n.),OK,,
ambitious,野心勃勃的,adj.,ambitious (adj.),OK,,
amend,修訂；修改,n.,amend (n.),OK,,
amendment,改正；修一次的；引起歧義的正；修正案,adj.,amendment (adj.),OK,,
amid,姓氏不明的回答；答覆,n.,amid (n.),OK,,
among,在…中間,n.,among (n.),OK,,
amount,分量；總數；總額,n.,amount (n.),OK,,
amplify,增強；擴大,v.,amplify (v.),OK,,
amuse,使歡樂；使發笑,n.,amuse (n.),OK,,
amusement,娛樂；愉悅；樂趣,n.,amusement (n.),OK,,
analyze,分析,n.,analyze (n.),OK,,
ancestor,祖先,n.,ancestor (n.),OK,,
ancient,古老的,adj.,ancient (adj.),OK,,
angle,角；角度,n.,angle (n.),OK,,
animal,動物,adj.,animal (adj.),OK,,
animate,賦予生命；使向前；一起,v.,animate (v.),OK,,
ankle,腳踝,n.,ankle (n.),OK,,
anniversary,週年紀念,n.,anniversary (n.),OK,,
announce,宣布；發布；宣布；通告,n.,announce (n.),OK,,
announcement,公告；通告；,n.,announcement (n.),OK,,
annoy,惹惱,n.,annoy (n.),OK,,
annual,一年一次的；每年的,adj.,annual (adj.),OK,,
annually,每年；每年,adv.,annually (adv.),OK,,
anonymous,匿名的；共計；相當於的,adj.,anonymous (adj.),OK,,
another,又一；再一,n.,another (n.),OK,,
answer,回答；答覆,n.,answer (n.),OK,,
antibiotic,抗生的；抗菌的抗生素；抗菌素在…之間；被…包圍,adj.,antibiotic (adj.),OK,,
anxiety,焦慮；掛念在…之中；,n.,anxiety (n.),OK,,
anxious,焦慮的；掛念,adj.,anxious (adj.),OK,,
anxiously,焦急地,adv.,anxiously (adv.),OK,,
any,任一；每一任何一個；任何人,n.,any (n.),OK,,
anything,無論何事,v.,anything (v.),OK,,
apart,分開地；有距離,adv.,apart (adv.),OK,,
apologetic,道歉的；認,adj.,apologetic (adj.),OK,,
apologize,道歉；謝罪,v.,apologize (v.),OK,,
apology,道歉；陪罪,n.,apology (n.),OK,,
apparent,明顯的；表面的；外觀的,adj.,apparent (adj.),OK,,
apparently,顯然地；表面上,adv.,apparently (adv.),OK,,
appeal,呼籲；懇求；申訴,adj.,appeal (adj.),OK,,
appear,出現；出現；顯露,n.,appear (n.),OK,,
appearance,出現；顯露；容貌,n.,appearance (n.),OK,,
appetite,食慾；胃口,n.,appetite (n.),OK,,
appetizer,開胃小菜,n.,appetizer (n.),OK,,
applaud,鼓掌歡迎；喝,n.,applaud (n.),OK,,
appliance,家用電器；用具；裝置,n.,appliance (n.),OK,,
applicant,申請人,n.,applicant (n.),OK,,
application,申請書,n.,application (n.),OK,,
apply,申請；申請；請求,adv.,apply (adv.),OK,,
apply for,申請,phr.,apply for (phr.),OK,,
appoint,任命；指派,n.,appoint (n.),OK,,
appointment,約定；預約,n.,appointment (n.),OK,,
appraise,估計；估量,v.,appraise (v.),OK,,
appreciate,賞識；鑑賞,v.,appreciate (v.),OK,,
appreciation,欣賞,n.,appreciation (n.),OK,,
apprehend,逮捕；,n.,apprehend (n.),OK,,
apprentice,徒弟；見習生,n.,apprentice (n.),OK,,
approach,接近；靠近；走近,n.,approach (n.),OK,,
appropriate,合適的；適當的；,adj.,appropriate (adj.),OK,,
approval,批准；認可；贊同,adj.,approval (adj.),OK,,
approve,同意；贊許,n.,approve (n.),OK,,
approximate,接近的；地,adj.,approximate (adj.),OK,,
approximately,大致；大約,adv.,approximately (adv.),OK,,
apt,易於…的；有…傾向的,adj.,apt (adj.),OK,,
architect,建築師；設計師,n.,architect (n.),OK,,
architecture,建築物；建築學；結構,n.,architecture (n.),OK,,
archive,把…存檔；把…收集歸檔檔案保管處；文件；記錄采,adj.,archive (adj.),OK,,
area,區域；地區；區域,n.,area (n.),OK,,
arena,圓形運動場；比,n.,arena (n.),OK,,
arguably,按理說,adv.,arguably (adv.),OK,,
argue,爭論；辯論；主張生,n.,argue (n.),OK,,
argument,爭執；爭吵,n.,argument (n.),OK,,
arise,升起；上升；產,v.,arise (v.),OK,,
arm,手臂,n.,arm (n.),OK,,
armed,武裝的,adj.,armed (adj.),OK,,
around,到處；周圍；周圍,n.,around (n.),OK,,
arouse,喚起；激動；使奮發；激發,n.,arouse (n.),OK,,
arrange,安排；整理；安排；籌備,n.,arrange (n.),OK,,
arrangement,安排,n.,arrangement (n.),OK,,
arrest,逮捕；逮捕；拘留,n.,arrest (n.),OK,,
arrival,到達；到來；抵達,adj.,arrival (adj.),OK,,
arrive,到達；到來,adj.,arrive (adj.),OK,,
art,藝術,n.,art (n.),OK,,
article,文章,n.,article (n.),OK,,
articulate,清楚地講話；清晰地發音；明確有力地表達,v.,articulate (v.),OK,,
artificial,人造的；人工的,adj.,artificial (adj.),OK,,
as well as,又；也；還,phr.,as well as (phr.),OK,,
ascend,登高；上升,n.,ascend (n.),OK,,
ash,灰燼,n.,ash (n.),OK,,
aspect,方面,n.,aspect (n.),OK,,
assemble,組合；集合；召集,n.,assemble (n.),OK,,
assembly,裝配,adv.,assembly (adv.),OK,,
assert,斷言；聲稱,n.,assert (n.),OK,,
assess,對……進行估價；評價,n.,assess (n.),OK,,
assign,分配；分派,n.,assign (n.),OK,,
assignment,任務；工作,n.,assignment (n.),OK,,
assimilate,被吸收；被消化,v.,assimilate (v.),OK,,
assist,協助；幫助；協助,n.,assist (n.),OK,,
assistance,幫助；援助；援助；幫助,n.,assistance (n.),OK,,
assistant,助理,n.,assistant (n.),OK,,
associate,夥伴；同事；相關,v.,associate (v.),OK,,
association,協會；公,n.,association (n.),OK,,
assume,以為；假定為,n.,assume (n.),OK,,
assurance,保證,n.,assurance (n.),OK,,
assure,向……保證；擔保,n.,assure (n.),OK,,
astonish,使吃驚；使驚訝,adj.,astonish (adj.),OK,,
at,在…地點；在…時刻,n.,at (n.),OK,,
at least,至少,phr.,at least (phr.),OK,,
ate,抽出……中的,adj.,ate (adj.),OK,,
ation,通貨膨脹,n.,ation (n.),OK,,
atmosphere,氣氛,n.,atmosphere (n.),OK,,
attach,連接；固定；附屬；附加,n.,attach (n.),OK,,
attachment,附屬物；,n.,attachment (n.),OK,,
attain,達到；獲得成就，造詣,n.,attain (n.),OK,,
attempt,企圖；嘗試試圖；企圖；嘗試,n.,attempt (n.),OK,,
attend,出席；出席；參加,n.,attend (n.),OK,,
attendance,出席；到場；出席,n.,attendance (n.),OK,,
attention,專心；留心；注意力；專心,n.,attention (n.),OK,,
attest,證實；證明夥伴的；共事的,adj.,attest (adj.),OK,,
attitude,態度,n.,attitude (n.),OK,,
attorney,律師,n.,attorney (n.),OK,,
attract,吸引；吸引；引起,n.,attract (n.),OK,,
attractive,誘人的,adj.,attractive (adj.),OK,,
attribute,把…歸因於；,n.,attribute (n.),OK,,
auction,拍賣拍賣,n.,auction (n.),OK,,
audience,聽眾；觀眾；觀眾；聽眾,n.,audience (n.),OK,,
audit,審計；查帳審,n.,audit (n.),OK,,
auditory,耳朵的；聽覺的聽眾；禮堂,adj.,auditory (adj.),OK,,
author,作者；作者；作家,n.,author (n.),OK,,
authority,權威,n.,authority (n.),OK,,
automatic,自動；自動的；習,adj.,automatic (adj.),OK,,
automobile,汽車,n.,automobile (n.),OK,,
available,可得的；可獲得的;可行的；可用的；可,adj.,available (adj.),OK,,
avenue,大街；大道；大道；途徑,n.,avenue (n.),OK,,
average,平均；平均；中等,n.,average (n.),OK,,
avert,避開；移開,n.,avert (n.),OK,,
avoid,避免；避開；躲開,n.,avoid (n.),OK,,
avoidance,逃避；迴避,n.,avoidance (n.),OK,,
aw,裂縫；缺點使破裂；使有缺陷ﬂ,n.,aw (n.),OK,,
await,等候；期待,n.,await (n.),OK,,
award,獎賞,n.,award (n.),OK,,
aware,察覺,n.,aware (n.),OK,,
awareness,察覺；覺悟B,n.,awareness (n.),Possible error,察覺；覺悟,English letters present in Chinese meaning
awed,有缺點的；錯誤的,adj.,awed (adj.),OK,,
awless,無瑕的；完美的,adj.,awless (adj.),OK,,
bachelor,單身漢；學士,n.,bachelor (n.),OK,,
back,背部；後部倒退；後退向後；後退地後面的；後部的,adj.,back (adj.),OK,,
backache,背痛；腰痛,n.,backache (n.),OK,,
backbone,脊骨；脊柱,n.,backbone (n.),OK,,
backbreaking,非常辛計；查帳,v.,backbreaking (v.),OK,,
background,背景；遠用的背包,n.,background (n.),OK,,
backlash,反衝；強烈反對；後座力利用的,adj.,backlash (adj.),OK,,
backlog,存貨；儲備金,n.,backlog (n.),OK,,
backpack,登山、遠足因慣性的,adj.,backpack (adj.),OK,,
backup,備用；備用物,n.,backup (n.),OK,,
backward,向後的；反備用的備份向的向後；倒,adj.,backward (adj.),OK,,
backyard,後院,n.,backyard (n.),OK,,
bacon,燻肉,n.,bacon (n.),OK,,
bacteria,細菌,n.,bacteria (n.),OK,,
bad,壞的；不好的很；非常,adj.,bad (adj.),OK,,
bad-tempered,情緒惡,phr.,bad-tempered (phr.),OK,,
badge,徽章；紀念章,n.,badge (n.),OK,,
badly,壞地；拙劣地,adv.,badly (adv.),OK,,
badminton,羽毛球,n.,badminton (n.),OK,,
bag,袋；提袋,n.,bag (n.),OK,,
baggage,行李劣的；易怒的,adj.,baggage (adj.),OK,,
bail,保釋保釋；保釋行業,n.,bail (n.),OK,,
bailout,跳傘；緊急（財,n.,bailout (n.),OK,,
bait,餌；引誘物引誘；誘惑,n.,bait (n.),OK,,
bake,烘；烤；烘培,n.,bake (n.),OK,,
baked,烘烤,v.,baked (v.),OK,,
baker,麵包師：糕點師,n.,baker (n.),OK,,
bakery,麵包店；糕點店,n.,bakery (n.),OK,,
balance,平衡；平衡；均衡,v.,balance (v.),OK,,
balcony,陽臺；露臺,n.,balcony (n.),OK,,
bald,禿頭的；赤裸裸的,adj.,bald (adj.),OK,,
ballet,芭蕾,n.,ballet (n.),OK,,
ballroom,跳舞的大廳,n.,ballroom (n.),OK,,
ban,禁止；禁令禁止；334.,n.,ban (n.),OK,,
banana split,香蕉船,phr.,banana split (phr.),OK,,
band,帶；細繩；樂團；樂團,n.,band (n.),OK,,
banish,流放；放逐,adj.,banish (adj.),OK,,
bank,銀行；堤；岸,n.,bank (n.),OK,,
bankbook,銀行存摺,n.,bankbook (n.),OK,,
bankcard,銀行信用卡難對付的,adj.,bankcard (adj.),OK,,
banker,銀行家,n.,banker (n.),OK,,
banking,銀行業務；銀,v.,banking (v.),OK,,
bankrupt,破產的使,n.,bankrupt (n.),OK,,
banner,旗幟；橫幅,n.,banner (n.),OK,,
banquet,宴會；宴會；盛宴宴請,n.,banquet (n.),OK,,
bar,棒；條；酒吧；酒吧,n.,bar (n.),OK,,
bar code,條碼,phr.,bar code (phr.),OK,,
barbecue,烤肉；燒烤,n.,barbecue (n.),OK,,
bare,裸的；光禿禿的,adj.,bare (adj.),OK,,
barely,僅僅；僅僅；勉強,adv.,barely (adv.),OK,,
bareness,赤裸；無遮,n.,bareness (n.),OK,,
bargain,協議；買賣取締使赤裸；露出蓋討價還價,n.,bargain (n.),OK,,
barrel,桶子,n.,barrel (n.),OK,,
barren,不生育的；貧脊,adj.,barren (adj.),OK,,
barrier,障礙；障礙物；路障,n.,barrier (n.),OK,,
bas,基；底；基部基,n.,bas (n.),OK,,
baseball,棒球,n.,baseball (n.),OK,,
baseball cards,棒球卡,phr.,baseball cards (phr.),OK,,
baseline,基線；底線,n.,baseline (n.),OK,,
basement,地下室；地,n.,basement (n.),OK,,
basic,基礎的；基本的,adj.,basic (adj.),OK,,
basically,在根本上,adv.,basically (adv.),OK,,
basis,基礎；基礎；根據,n.,basis (n.),OK,,
basket,籃；簍；筐,n.,basket (n.),OK,,
basketball,籃球,n.,basketball (n.),OK,,
bat,球棒；球拍打；,n.,bat (n.),OK,,
batch,一批生產量；一批,n.,batch (n.),OK,,
bath,沐浴；浴缸；洗澡,n.,bath (n.),OK,,
bathe,浸入；浸洗,n.,bathe (n.),OK,,
bathroom,浴室；化妝,n.,bathroom (n.),OK,,
battery,電池；電池；蓄電池,n.,battery (n.),OK,,
battle,搏鬥；奮爭戰,n.,battle (n.),OK,,
bay,海灣；灣宜的形成；發生,n.,bay (n.),OK,,
be,是；等於正,v.,be (v.),OK,,
beach,海灘；海濱度假地,adv.,beach (adv.),OK,,
bearable,能耐的；忍得住的,adj.,bearable (adj.),OK,,
bearer,持有人；挑夫；搬運工下層揮打,n.,bearer (n.),OK,,
bearing,舉止；體態；忍耐；忍受基礎；基本原理,v.,bearing (v.),OK,,
beast,野獸,n.,beast (n.),OK,,
beat,打；擊；敲敲打；敲擊聲筋疲力盡的；垂頭喪氣的,adj.,beat (adj.),OK,,
beaten,挨打的；被打敗的；筋疲力盡的,adj.,beaten (adj.),OK,,
beautiful,優美的；漂亮的；出色的,adj.,beautiful (adj.),OK,,
beautify,使更加美麗；美化,v.,beautify (v.),OK,,
beauty,美麗；美的事物,n.,beauty (n.),OK,,
because,因為；因為室,n.,because (n.),OK,,
become,成為；變得；變成；成為,v.,become (v.),OK,,
become／to be consumed with,被～吞噬,phr.,become／to be consumed with (phr.),OK,,
becoming,合適的；適,adj.,becoming (adj.),OK,,
bed,床；睡眠處睡；臥,v.,bed (v.),OK,,
bedside,床邊；床側床旁的；臨床的,adj.,bedside (adj.),OK,,
bedtime,就寢時間適,n.,bedtime (n.),OK,,
before,在～之前,n.,before (n.),OK,,
begin,著手;開始；開始；著手,v.,begin (v.),OK,,
beginner,初學者；新手,n.,beginner (n.),OK,,
beginning,開始；起始,v.,beginning (v.),OK,,
behalf,代表；利益,n.,behalf (n.),OK,,
behave,表現；行為舉,n.,behave (n.),OK,,
behavior,行為；舉止,n.,behavior (n.),OK,,
behavioral,行為的基準,adj.,behavioral (adj.),OK,,
behind,在背後；在～後面,n.,behind (n.),OK,,
beholder,觀看者；旁觀,n.,beholder (n.),OK,,
beige,米色的米黃色,n.,beige (n.),OK,,
being,存在；生存,v.,being (v.),OK,,
belated,誤期的；過時的,adj.,belated (adj.),OK,,
belief,相信；信任,n.,belief (n.),OK,,
believe,相信；信任,n.,believe (n.),OK,,
believer,信徒；信教者在…之下；向…下面主,n.,believer (n.),OK,,
bell,鐘；鈴鳴鐘,n.,bell (n.),OK,,
belly,肚子；腹；腹部鼓起；脹滿,adv.,belly (adv.),OK,,
belong,屬於；屬於；合適,n.,belong (n.),OK,,
belongings,財產；攜帶物品於睡前的,adj.,belongings (adj.),OK,,
beloved,心愛的；親愛的,adj.,beloved (adj.),OK,,
below,在下面；到下面；在～下面,n.,below (n.),OK,,
belt,腰帶；皮帶用皮帶抽打；用帶捆住止,n.,belt (n.),OK,,
bench,長凳；長椅,n.,bench (n.),OK,,
benchmark,水準點；,n.,benchmark (n.),OK,,
bend,彎曲；轉彎彎,v.,bend (v.),OK,,
beneath,在下；向下,n.,beneath (n.),OK,,
benefactor,捐助人；施,n.,benefactor (n.),OK,,
benignl,仁慈的；親切的,adj.,benignl (adj.),OK,,
bent,彎曲的；決心的愛好；傾向,adj.,bent (adj.),OK,,
ber,纖維；纖維製品,n.,ber (n.),OK,,
