English,Chinese Meanings,pos,word_with_pos,check_status,suggested_zh,notes,ecdict_zh,ecdict_pos
abstract,抽象的；深奧的摘要，抽象派藝術作品,adj.,abstract (adj.),OK,,,"a. 抽象的, 深奥的\nn. 摘要, 抽象概念\nvt. 摘要, 提炼, 使抽象化\n[计] 摘录; 摘要; 抽象",
absurd,不合理的，荒謬的,adj.,absurd (adj.),OK,,,"a. 荒谬的, 不合理的, 可笑的\nn. 荒诞",
abundance,豐富；充足,n.,abundance (n.),OK,,,"n. 丰富, 充足, 大量\n[经] 丰富, 充裕",
abundant,大量的；充,adj.,abundant (adj.),OK,,,"a. 丰富的, 充分的, 大量的",
abuse,濫用；虐待,n.,abuse (n.),OK,,,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待",
abusive,辱罵的；濫用,adj.,abusive (adj.),OK,,,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的",
academic,學校的；學術的學者；學究,adj.,academic (adj.),OK,,,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员",
academy,學院；大學,n.,academy (n.),OK,,,"n. 学院, 院校, 学会",
accelerate,加快；增長,v.,accelerate (v.),OK,,,"v. 加速, 促进",
accent,口音，腔調強調，著重,n.,accent (n.),OK,,,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调",
accept,接受；答應,n.,accept (n.),OK,,,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",
acceptable,可以接受的；令人滿意的,adj.,acceptable (adj.),OK,,,"a. 可接受的, 合意的, 可忍受的",
acceptance,接受；贊同,n.,acceptance (n.),OK,,,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信\n[经] 承兑, 认付, (工程)验收",
access,進入；入口,n.,access (n.),OK,,,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取",
accessibility,易接近；,n.,accessibility (n.),OK,,,"n. 易接近, 可进入\n[化] 可及性; 可达性; 可接近性; 吸湿性",
accessible,可接近的；,adj.,accessible (adj.),OK,,,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",
accessory,附件；配件,n.,accessory (n.),OK,,,"n. 附件, 零件, 附加物, 从犯, 同谋\na. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的\n[计] 附件",
accident,事故；事故；災禍,n.,accident (n.),OK,,,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",
accident-prone,容易受,phr.,accident-prone (phr.),OK,,,a. 易出事故的,
accidental,偶然的；意,adj.,accidental (adj.),OK,,,"a. 意外的, 偶然的, 非主要的, 附属的\nn. 临时记号, 次要方面",
acclaim,歡呼；喝采,n.,acclaim (n.),OK,,,"n. 喝彩, 欢呼, 赞同\nv. 欢呼, 喝彩, 称赞",
acclimatize,使適應新環,v.,acclimatize (v.),OK,,,"vt. 使适应新环境, 使服水土\nvi. 服水土",
accommodate,使適應；,v.,accommodate (v.),OK,,,"vt. 使适应, 调和, 通融, 容纳, 向...提供\nvi. 适应",
accommodation,適應；；食宿,n.,accommodation (n.),OK,,,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款\n[医] 调节(眼); 适应",
accompany,陪同，伴隨的到痛苦,n.,accompany (n.),OK,,,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱",
accomplish,完成，實現，達到,adj.,accomplish (adj.),OK,,,"vt. 完成, 达到, 实现, 使完美",
accomplishment,成就；成就；成績,n.,accomplishment (n.),OK,,,"n. 成就, 完成",
accord,使一致，調解,n.,accord (n.),OK,,,"n. 一致, 调和, 协定\nvt. 给与, 使一致\nvi. 相符合",
according,相符的；和,adj.,according (adj.),OK,,,"a. 相符的, 根据...而定的\nadv. 相应地",
account,帳目，帳單；認定,n.,account (n.),OK,,,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",
accountant,會計師；會計師；會計人員,n.,accountant (n.),OK,,,"n. 会计人员, 会计师\n[经] 会计师, 会计人员",
accounting,會計學；結帳外的,adj.,accounting (adj.),OK,,,"n. 会计学, 帐单, 清帐\n[计] 帐户处理, 记帐",
accrue,積累；獲得,n.,accrue (n.),OK,,,"vi. 自然增加, 产生\n[经] 应计, 产生, 出现",
accumulate,累積；積,v.,accumulate (v.),OK,,,"v. 积聚, 堆积",
accumulation,積累；積,n.,accumulation (n.),OK,,,"n. 积聚, 累积, 积聚物\n[医] 蓄积, 累积",
accuracy,正確；準確,n.,accuracy (n.),OK,,,"n. 精确, 正确\n[计] 准确度",
accurate,準確；準確的；精確,adj.,accurate (adj.),OK,,,"a. 正确的, 精确的\n[经] 准确的, 精确的",
accurately,準確地,adv.,accurately (adv.),OK,,,"adv. 正确地, 精确地",
accuse,控告；譴責,n.,accuse (n.),OK,,,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",
accustom,習慣（於）,n.,accustom (n.),OK,,,vt. 使习惯于,
ache,疼痛疼痛；感使相符,n.,ache (n.),OK,,,"n. 疼痛\nvi. 痛, 哀怜, 渴望",
achieve,完成，實現；達到,n.,achieve (n.),OK,,,"vt. 完成, 达到\nvi. 如愿以偿",
achievement,達成；完,n.,achievement (n.),OK,,,"n. 完成, 成就, 功业",
acknowledge,承認,n.,acknowledge (n.),OK,,,"vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知",
acknowledgement,承認；確認；認可器,n.,acknowledgement (n.),OK,,,"n. 承认, 确认, 感谢, 收到的通知\n[计] 确认; 肯定",
acquire,取得；獲得,n.,acquire (n.),OK,,,"vt. 获得, 学到\n[电] 目标锁定",
acquisition,獲得，取得,n.,acquisition (n.),OK,,,"n. 获得, 获得物\n[经] 收购, 招揽, 取得",
acquisitive,想獲得的；,adj.,acquisitive (adj.),OK,,,"a. 渴望获得的, 贪婪的\n[法] 取得的, 获得的, 贪得无厌的",
acre,英畝；英畝；地產,n.,acre (n.),OK,,,n. 英亩,
across,橫越，穿過；,n.,across (n.),OK,,,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字",
act,扮演；做事；見效,n.,act (n.),OK,,,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",
action,行動；行動；行為,n.,action (n.),OK,,,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",
activate,使活化；使活,v.,activate (v.),OK,,,"vt. 使活动, 使激活, 正式建成\nvi. 有活力",
active,活躍的；活躍的；活潑的；93.,adj.,active (adj.),OK,,,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子",
activity,活動；活動；行動,n.,activity (n.),OK,,,"n. 活动, 行动, 活跃, 活力\n[计] 活动",
actor,演員；演員；行動者,n.,actor (n.),OK,,,"n. 男演员, 行动者\n[医] 作用物, 反应物",
actress,女演員,n.,actress (n.),OK,,,n. 女演员,
actual,實際的；事實上的,adj.,actual (adj.),OK,,,"a. 真实的, 实际的, 现行的\n[医] 实际死亡率",
actually,實際上；真的配,adv.,actually (adv.),OK,,,"adv. 事实上, 竟然, 如今, 现在",
acute,嚴重的；敏銳的,adj.,acute (adj.),OK,,,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",
ad,成長；生長固保證；保固,n.,ad (n.),OK,,,"n. 广告\n[计] 地址, 模拟-数字",
ad analyze,分析,phr.,ad analyze (phr.),OK,,,,
adapt,使適應，使適合；適應,n.,adapt (n.),OK,,,"vt. 使适应, 改编\nvi. 适应",
adapter,改編者；轉接成,n.,adapter (n.),OK,,,"n. 适应者, 改编者, 接合器\n[计] 衔接器; 适配器, 适配卡",
add,添加；增加,n.,add (n.),OK,,,"vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法",
addict,使沉溺；使醉心,n.,addict (n.),OK,,,"vt. 使沉溺, 使上瘾\nn. 入迷的人, 上瘾者",
addiction,沉溺；成癮,n.,addiction (n.),OK,,,"n. 入迷, 瘾\n[医] 瘾, 癖嗜",
addictive,成癮的；上癮貪得無厭的的,adj.,addictive (adj.),OK,,,a. 上瘾的,
addition,加；附加,n.,addition (n.),OK,,,"n. 加法, 增加的人(或物)\n[计] 加法",
additional,另外,adj.,additional (adj.),OK,,,"a. 附加的, 另外的, 额外的\n[机] 加添的, 附加的",
additionally,附加地；,adv.,additionally (adv.),OK,,,"adv. 另外, 此外",
address,地址,n.,address (n.),OK,,,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",
adept,能手；內行,n.,adept (n.),OK,,,"a. 熟练的, 老练的, 巧妙的\nn. 能手, 内行",
adequate,足夠的；適潑,adj.,adequate (adj.),OK,,,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的",
adhere,黏附；遵守；堅積極的持,n.,adhere (n.),OK,,,"vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附",
adjust,調整；校正,n.,adjust (n.),OK,,,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应",
adjustment,調整；校正,n.,adjustment (n.),OK,,,"n. 调整, 调节, 校正\n[化] 调节",
administrate,管理；支,v.,administrate (v.),OK,,,"vt. 管理, 支配",
administration,管理；經營；行政,n.,administration (n.),OK,,,"n. 行政, 管理, 政府机关\n[化] 给药",
administrator,管理人；行政官員,n.,administrator (n.),OK,,,"n. 管理人, 行政官\n[经] 遗产管理人员",
admirable,值得讚揚的；令人欽佩的的,adj.,admirable (adj.),OK,,,"a. 可钦佩的, 极好的, 令人惊奇的",
admiration,欽佩；欣賞,n.,admiration (n.),OK,,,"n. 赞赏, 钦佩, 引人赞赏的对象",
admire,欽佩；欣賞,n.,admire (n.),OK,,,"vt. 赞美, 钦佩, 爱慕\nvi. 称赞, 惊奇",
admission,承認,n.,admission (n.),OK,,,"n. 准许进入, 入场费, 录用, 承认\n[经] 加入, 入股",
admit,承認；承認；准許進入,n.,admit (n.),OK,,,"vt. 承认, 接受, 允许进入, 容许\nvi. 开向, 容许, 承认",
admittance,進入；入,n.,admittance (n.),OK,,,"n. 进入, 进入权, 准许进入\n[化] 导纳",
adolescence,青春期；,n.,adolescence (n.),OK,,,"n. 青春期\n[医] 青年期, 青春期",
adolescent,青少年的；,adj.,adolescent (adj.),OK,,,"a. 青春期的, 青少年的\nn. 青少年",
adopt,採取；採納；採用,n.,adopt (n.),OK,,,"vt. 采用, 正式通过, 收养, 接受\n[医] 采取",
adoption,採納；採用,n.,adoption (n.),OK,,,"n. 采用, 采纳, 收养\n[法] 收养, 采纳, 采用",
adorn,裝飾；使生色,n.,adorn (n.),OK,,,"vt. 装饰, 使生色",
adult,成年人成年的；125.,adj.,adult (adj.),OK,,,"n. 成人, 成虫\na. 成年的, 成熟的",
advance,前進；前進；進展前進；發展先行的；預先的,adj.,advance (adj.),OK,,,"n. 前进, 进展, 行过的路程\nvi. 前进, 进展, 提高, 上涨\nvt. 使前进, 促进, 提出, 提高, 使提前, 预付\na. 前面的, 预先的",
advanced,在前面的；先進的；開明的,adj.,advanced (adj.),OK,,,"a. 在前的, 高级的, 先进的, 年老的\n[法] 预付的, 预支的, 垫付的",
advancement,進步,n.,advancement (n.),OK,,,"n. 前进, 进步, 提升\n[医] 徙前术",
advantage,優勢；優點；利益有利於；使處於優勢,n.,advantage (n.),OK,,,"n. 优点, 便利, 好处, 优势\nvt. 有助于",
adventure,冒險；冒險;冒險精神fﬁ,n.,adventure (n.),Possible error,冒險；冒險;冒險精神ﬁ,English letters present in Chinese meaning,"n. 冒险, 冒险经历\nv. 冒险",
adversary,敵手；敵人,n.,adversary (n.),OK,,,"n. 敌手, 对手\na. 敌手的, 敌对的",
adverse,反面的；不利,adj.,adverse (adj.),OK,,,"a. 不利的, 敌对的, 相反的, 逆的\n[法] 相反的, 敌对的, 逆的",
advertise,廣告；公布,v.,advertise (v.),OK,,,"vt. 做广告, 通知, 公布\nvi. 做广告",
advertisement,廣告；廣告；,n.,advertisement (n.),OK,,,"n. 广告, 启事, 广告宣传\n[法] 广告, 公告, 告示",
advertising,廣告,v.,advertising (v.),OK,,,"n. 广告业, 广告\na. 广告的\n[计] 发广告",
advice,勸告；忠告；忠告；建議,n.,advice (n.),OK,,,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议",
advisable,可取的；適,adj.,advisable (adj.),OK,,,"a. 适当的, 明智的",
advise,勸告；忠告；忠告；提供意見,v.,advise (v.),OK,,,"vt. 劝告, 给...出主意, 通知, 建议\nvi. 提意见, 商量",
adviser,顧問；勸告者,n.,adviser (n.),OK,,,"n. 顾问, 劝告者, 指导教师\n[法] 顾问, 劝告者",
advocate,提倡者；辯,v.,advocate (v.),OK,,,"n. 提倡者, 拥护者\nvt. 主张, 提倡",
affair,事件；事務,n.,affair (n.),OK,,,"n. 事件, 事务, 恋爱事件",
affect,影響；對……發,n.,affect (n.),OK,,,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于\nn. 自觉感情",
affection,愛；情愛宣傳場許可,n.,affection (n.),OK,,,"n. 影响, 病, 喜爱, 情感, 倾向\n[医] 疾患, 病变, 病; 感情",
affiliate,加上,v.,affiliate (v.),OK,,,"vt. 使紧密联系, 使附属, 接纳, 收养\nvi. 发生联系, 参加",
afford,付得起,n.,afford (n.),OK,,,"vt. 买得起, 足以, 给予",
affordable,實惠的,adj.,affordable (adj.),OK,,,[计] 普及型,
afraid,害怕的；恐怕；遺憾,adj.,afraid (adj.),OK,,,"a. 害怕的, 恐怕的, 遗憾的",
after,在…之後在…之後以後；之後以後的；後部的,adj.,after (adj.),OK,,,"prep. 在...之后, 由于\nconj. 在...之后\nadv. 后来",
after-tax,稅後；淨收的,phr.,after-tax (phr.),OK,,,a. 税后; 纳税后的,
afternoon,下午；午後,n.,afternoon (n.),OK,,,"n. 午后, 下午",
afterward,之後；以後,n.,afterward (n.),OK,,,"adv. 然后, 后来",
again,再；再一次,n.,again (n.),OK,,,"adv. 再一次, 又, 到原处",
against,反對；違反,n.,against (n.),OK,,,"prep. 反对, 对着, 倚靠",
age,年齡；年齡變老；成熟,n.,age (n.),OK,,,"n. 年龄, 老年, 成年, 寿命, 时代, 时期\nv. 变老, 成熟",
agency,經銷處；代理,n.,agency (n.),OK,,,"n. 代理机构, 经销商, 中介\n[化] 办事处",
agenda,待議諸事項；警戒；警報警覺的；警惕的議程,adj.,agenda (adj.),OK,,,"pl. 议程, 日常工作事项\n[计] 待议事件",
agent,代理商；仲介人；經紀人,n.,agent (n.),OK,,,"n. 代理商, 政府代表, 动原, 媒介\n[计] 代理程序",
aggression,侵略,n.,aggression (n.),OK,,,"n. 侵犯, 侵略\n[医] 攻击",
aggressive,侵略的；；積極的,adj.,aggressive (adj.),OK,,,"a. 侵略的, 挑畔的, 进取的\n[法] 侵略的, 爱挑衅的, 行为过火的",
agility,敏捷；靈活,n.,agility (n.),OK,,,"n. 敏捷, 灵活, 机敏",
ago,在……以前,n.,ago (n.),OK,,,adv. 以前,
agree,同意；贊同,n.,agree (n.),OK,,,"vi. 同意, 赞成, 应允, 适合\nvt. 承认, 认定, 同意",
agreement,同意；協定,n.,agreement (n.),OK,,,"n. 同意, 合约, 协议\n[经] 契约, 协议, 协定",
agricultural,農業的；預先,adj.,agricultural (adj.),OK,,,"a. 农业的\n[法] 农业的, 耕作的",
agriculture,農業,n.,agriculture (n.),OK,,,"n. 农业\n[机] 农业, 农学",
ahead,在前；向前；,n.,ahead (n.),OK,,,"a. 领先的, 预先的, 向前的\nadv. 领先, 预先, 向前, 胜于, 在前面, 在将来",
aid,幫助；救助幫助；救助；幫忙,n.,aid (n.),OK,,,"n. 帮助, 外援, 助手\nvt. 援助, 帮助, 有助于\nvi. 帮助\n[计] 自动内部诊断",
aim,目標；意圖；瞄準；目的,adj.,aim (adj.),OK,,,"n. 目标, 瞄准, 击中目标的能力\nvi. 对准目标, 致力, 打算\nvt. 瞄准\n[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块\n应用接口模块, 医学人工智能, 相联索引法, 异步接口模块\n自动化信息管理, 自动化综合制造, 自动化库存管理",
air-conditioner,冷氣機,phr.,air-conditioner (phr.),OK,,,n. 空调器,
aircraft,飛機；飛艇,n.,aircraft (n.),OK,,,"n. 航空器, 飞机\n[机] 航空器",
airfare,機票票價,n.,airfare (n.),OK,,,n. 飞机票价,
airline,航空；航線；航空公司,n.,airline (n.),OK,,,"n. 航线, 航线的设备, 航空公司",
airport,機場；機場；航空站,n.,airport (n.),OK,,,"n. 飞机场\n[机] 航空站, 机场",
aisle,通道；走道,n.,aisle (n.),OK,,,"n. 走廊, 侧廊, 过道\n[机] 走道",
alarm,警報；鬧鐘使,n.,alarm (n.),OK,,,"n. 惊恐, 警报, 警钟\nvt. 使惊恐, 警告\n[计] 报警信号",
alarming,驚人的,adj.,alarming (adj.),OK,,,"a. 使人惊恐的, 引起惊恐的",
album,相簿；專輯,n.,album (n.),OK,,,"n. 粘贴簿, 唱片套\n[医] 白色物",
alcoholic,酒精,adj.,alcoholic (adj.),OK,,,"n. 酒鬼, 酒精中毒者\na. 酒精的",
alert,使警覺；使注意；機警的,adj.,alert (adj.),OK,,,"a. 警觉的, 灵敏的, 留心的\nn. 警报\nvt. 使警觉, 通知, 使意识到",
alien,外僑,v.,alien (v.),OK,,,"n. 外国人, 外侨\na. 外国的, 相异的",
align,排成直線；使結盟,n.,align (n.),OK,,,"vi. 排列, 排成一行, 结盟\nvt. 使结盟, 使成一行, 校正",
alike,相同的；相像的,adj.,alike (adj.),OK,,,"a. 相似的, 同样的\nadv. 一样, 以同样的方式",
allege,斷言；宣稱,n.,allege (n.),OK,,,"vt. 宣称, 主张, 提出, 断言\n[法] 断言, 指称, 指证",
allegedly,據傳說；據,adv.,allegedly (adv.),OK,,,adv. 依其申述,
allergy,過敏症,n.,allergy (n.),OK,,,"n. 变应性, 反感, 厌恶\n[化] 变态反应; 变应性",
alley,小巷；小徑務農的,adj.,alley (adj.),OK,,,"n. 小路, 巷",
alliance,結盟；聯盟,n.,alliance (n.),OK,,,"n. 联盟, 联合\n[法] 同盟, 联盟, 联姻",
allocate,分派；分配,v.,allocate (v.),OK,,,"vt. 分派, 分配\n[计] 分配",
allow,允許；准許；允許；容許,n.,allow (n.),OK,,,"vt. 允许, 同意给予, 承认\nvi. 容许, 猜想\n[计] 允许命令",
allowance,津貼；補貼,n.,allowance (n.),OK,,,"n. 津贴, 零用钱, 限额, 折扣, 允许\nvt. 定量供应",
allure,引誘；誘惑誘惑力，魅力,n.,allure (n.),OK,,,"vt. 引诱, 吸引\nn. 魅力, 诱惑力",
almost,幾乎；差一點；幾乎；差不多,n.,almost (n.),OK,,,"adv. 几乎, 差不多",
along,沿著；沿著；順著,n.,along (n.),OK,,,"adv. 平行地, 向前\nprep. 沿着",
already,已經；先前,n.,already (n.),OK,,,"adv. 已经, 早已",
alter,改變；修改,n.,alter (n.),OK,,,v. 改变,
alternate,交替的；輪流有生命,adj.,alternate (adj.),OK,,,"a. 交替的, 轮流的, 间隔的\nv. 轮流, (使)交替",
alternative,可替代的；兩者擇一；替代的；供,adj.,alternative (adj.),OK,,,"n. 两者择一, 供替代的选择\na. 两者择一的, 供选择的\n[计] 选择对象",
although,雖然；儘管,n.,although (n.),OK,,,"conj. 虽然, 尽管",
altogether,完全；全然,n.,altogether (n.),OK,,,"adv. 完全地, 总而言之",
aluminum,鋁,n.,aluminum (n.),OK,,,n. 铝\n[化] 铝Al,
always,總是,n.,always (n.),OK,,,"adv. 总是, 始终",
amateur,業餘；業餘的；外行的代理人；代替者,adj.,amateur (adj.),OK,,,"n. 业余爱好者, 外行, 爱好者\n[电] 业余家",
amaze,使驚奇；使驚愕；驚奇,n.,amaze (n.),OK,,,vt. 使吃惊,
amazing,驚人的；了不起的,adj.,amazing (adj.),OK,,,a. 令人惊异的,
ambiguous,含糊不清,adj.,ambiguous (adj.),OK,,,"a. 不明确的, 模棱两可的\n[法] 意思含糊的, 模棱两可的, 暧昧的",
ambition,抱負；野心；雄心；抱負,n.,ambition (n.),OK,,,"n. 野心, 志向",
ambitious,野心勃勃的,adj.,ambitious (adj.),OK,,,"a. 有野心的, 抱负不凡的, 雄心勃勃的",
amend,修訂；修改,n.,amend (n.),OK,,,"vt. 修改, 改善, 改良\nvi. 改过自新",
amendment,改正；修一次的；引起歧義的正；修正案,adj.,amendment (adj.),OK,,,"n. 修订, 改善, 改良, 改正\n[化] 调理剂; 修正",
amid,姓氏不明的回答；答覆,n.,amid (n.),OK,,,"prep. 在其间, 在其中\n[经] 在...中",
among,在…中間,n.,among (n.),OK,,,prep. 在...之中,
amount,分量；總數；總額,n.,amount (n.),OK,,,"n. 总数, 总额\nvi. 总计, 等同",
amplify,增強；擴大,v.,amplify (v.),OK,,,"vt. 增强, 放大, 扩大, 详述\nvi. 引伸",
amuse,使歡樂；使發笑,n.,amuse (n.),OK,,,"vt. 消遣, 娱乐, 使发笑",
amusement,娛樂；愉悅；樂趣,n.,amusement (n.),OK,,,"n. 兴味, 娱乐, 消遣\n[法] 娱乐, 娱乐活动",
analyze,分析,n.,analyze (n.),OK,,,"vt. 分析, 细察, 分解\n[机] 分析",
ancestor,祖先,n.,ancestor (n.),OK,,,"n. 祖先, 祖宗",
ancient,古老的,adj.,ancient (adj.),OK,,,"a. 古代的, 古老的, 年老的, 旧的",
angle,角；角度,n.,angle (n.),OK,,,"n. 角, 角度, 角落\nvi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度\nvt. 使转动角度, 在...钓鱼, 获取",
animal,動物,adj.,animal (adj.),OK,,,n. 动物\n[医] 动物,
animate,賦予生命；使向前；一起,v.,animate (v.),OK,,,"vt. 使有生气, 赋予生命\na. 有生命的, 有生气的",
ankle,腳踝,n.,ankle (n.),OK,,,"n. 踝\n[医] 踝, 踝关节",
anniversary,週年紀念,n.,anniversary (n.),OK,,,n. 周年纪念,
announce,宣布；發布；宣布；通告,n.,announce (n.),OK,,,"vt. 宣布, 声称, 显示, 预告\nvi. 当报幕员, 宣布参加竞选",
